district_lea,district_name,coop,shortage
2501000,Mammoth Spring School District,NORTH CENTRAL ARK. EDUC CO-OP,0
4712000,Manila School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
6606000,Mansfield School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
1804000,Marion School District,CROWLEY'S RIDGE EDUCATION CO-OP,1
5604000,Marked Tree School District,CROWLEY'S RIDGE EDUCATION CO-OP,1
2803000,Marmaduke School District,NORTHEAST ARK. EDUC. CO-OP,0
5404000,Marvell-Elaine School District,GREAT RIVERS EDUC. SERV. CO-OP,1
2305000,Mayflower School District,ARCH FORD EDUCATIONAL SERVICE,0
6102000,Maynard School District,NORTHEAST ARK. EDUC. CO-OP,1
7403000,McCrory School District,WILBUR D. MILLS EDUC. CO-OP,0
2105000,McGehee School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
3302000,Melbourne School District,NORTH CENTRAL ARK. EDUC CO-OP,0
5703000,Mena School District,DEQUEEN/MENA EDUC. CO-OP,0
3211000,Midland School District,NORTH CENTRAL ARK. EDUC CO-OP,1
3104000,Mineral Springs School District,DEQUEEN/MENA EDUC. CO-OP,0
2203000,Monticello School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
4902000,Mount Ida School District,DEQUEEN/MENA EDUC. CO-OP,0
303000,Mountain Home School District,NORTH CENTRAL ARK. EDUC CO-OP,0
2607000,Mountain Pine School District,DAWSON EDUCATION SERVICE CO-OP,0
6901000,Mountain View School District,NORTH CENTRAL ARK. EDUC CO-OP,0
1703000,Mountainburg School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,1
2306000,Mt. Vernon/Enola School District,ARCH FORD EDUCATIONAL SERVICE,0
1704000,Mulberry/Pleasant View Bi-County Schools,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
3105000,Nashville School District,DEQUEEN/MENA EDUC. CO-OP,0
1503000,Nemo Vista School District,ARCH FORD EDUCATIONAL SERVICE,0
1611000,Nettleton School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
5008000,Nevada School District,SOUTHWEST ARK. CO-OP,1
3403000,Newport School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
304000,Norfork School District,NORTH CENTRAL ARK. EDUC CO-OP,0
6002000,North Little Rock School District,PULASKI COUNTY SCHOOLS,1
504000,Omaha School District,OZARK UNLITD RESOURCE CO-OP,0
4713000,Osceola School District,CROWLEY'S RIDGE EDUCATION CO-OP,1
5706000,Ouachita River School District,DEQUEEN/MENA EDUC. CO-OP,0
3005000,Ouachita School District,DAWSON EDUCATION SERVICE CO-OP,0
6505000,Ozark Mountain School District,OZARK UNLITD RESOURCE CO-OP,0
2404000,Ozark School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
6205000,Palestine-Wheatley Sch. Dist.,GREAT RIVERS EDUC. SERV. CO-OP,1
7309000,Pangburn School District,WILBUR D. MILLS EDUC. CO-OP,0
2808000,Paragould School District,NORTHEAST ARK. EDUC. CO-OP,0
4203000,Paris School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
7007000,Parkers Chapel School Dist.,SOUTH CENTRAL SERVICE CO-OP,0
407000,Pea Ridge School District,NORTHWEST ARK. EDUCATION CO-OP,1
5303000,Perryville School District,ARCH FORD EDUCATIONAL SERVICE,0
1104000,Piggott School District,NORTHEAST ARK. EDUC. CO-OP,0
3505000,Pine Bluff School District,ARK. RIVER EDUC. SERVICE CNTR.,1
6103000,Pocahontas School District,NORTHEAST ARK. EDUC. CO-OP,0
5804000,Pottsville School District,ARCH FORD EDUCATIONAL SERVICE,0
2703000,Poyen School District,DAWSON EDUCATION SERVICE CO-OP,0
7206000,Prairie Grove School District,NORTHWEST ARK. EDUCATION CO-OP,0
6053700,Premier High Schools of Arkansas,PULASKI COUNTY SCHOOLS,1
5006000,Prescott School District,SOUTHWEST ARK. CO-OP,1
6003000,Pulaski County Special School District,PULASKI COUNTY SCHOOLS,1
1203000,Quitman School District,ARCH FORD EDUCATIONAL SERVICE,0
1106000,Rector School District,NORTHEAST ARK. EDUC. CO-OP,1
6062700,Responsive Ed Solutions Premier High School of North Little Rock,PULASKI COUNTY SCHOOLS,1
7242700,Responsive Ed Solutions Premier High School of Springdale,NORTHWEST ARK. EDUCATION CO-OP,0
4706000,Rivercrest School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
1613000,Riverside School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
7307000,Riverview School District,WILBUR D. MILLS EDUC. CO-OP,0
405000,Rogers School District,NORTHWEST ARK. EDUCATION CO-OP,0
7310000,Rose Bud School District,WILBUR D. MILLS EDUC. CO-OP,0
5805000,Russellville School District,ARCH FORD EDUCATIONAL SERVICE,0
2502000,Salem School District,NORTH CENTRAL ARK. EDUC CO-OP,0
6060700,Scholarmade Achievement Place of Arkansas,PULASKI COUNTY SCHOOLS,1
4204000,Scranton School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
6502000,Searcy County School District,OZARK UNLITD RESOURCE CO-OP,0
7311000,Searcy School District,WILBUR D. MILLS EDUC. CO-OP,0
2705000,Sheridan School District,ARK. RIVER EDUC. SERVICE CNTR.,1
7104000,Shirley School District,ARCH FORD EDUCATIONAL SERVICE,0
406000,Siloam Springs School District,NORTHWEST ARK. EDUCATION CO-OP,0
3806000,Sloan-Hendrix School District,NORTHEAST ARK. EDUC. CO-OP,0
7008000,Smackover-Norphlet School District,SOUTH CENTRAL SERVICE CO-OP,0
1507000,South Conway County School District,ARCH FORD EDUCATIONAL SERVICE,0
5504000,South Pike County School District,DAWSON EDUCATION SERVICE CO-OP,0
7105000,South Side School District(Vanburen),ARCH FORD EDUCATIONAL SERVICE,0
3209000,Southside School District (Independence),NORTH CENTRAL ARK. EDUC CO-OP,0
2906000,Spring Hill School District,SOUTHWEST ARK. CO-OP,0
7207000,Springdale School District,NORTHWEST ARK. EDUCATION CO-OP,0
4003000,Star City School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
7009000,Strong-Huttig School District,SOUTH CENTRAL SERVICE CO-OP,0
104000,Stuttgart School District,ARK. RIVER EDUC. SERVICE CNTR.,1
